RequestNumber,Index Name,Date,TotalReturnsIndex,NTR_Value
TRI63913928477664115000,Nifty 50,2000-01-03,1688.44,1688.44
TRI63913928477664115000,Nifty 50,2000-01-04,1737.75,1737.75
TRI63913928477664115000,Nifty 50,2000-01-05,1692.25,1692.25
TRI63913928477664115000,Nifty 50,2000-01-06,1715.37,1715.37
TRI63913928477664115000,Nifty 50,2000-01-07,1710.81,1710.81
TRI63913928477664115000,Nifty 50,2000-01-10,1731.65,1731.65
TRI63913928477664115000,Nifty 50,2000-01-11,1667.54,1667.54
TRI63913928477664115000,Nifty 50,2000-01-12,1723.01,1723.01
TRI63913928477664115000,Nifty 50,2000-01-13,1719.4,1719.4
TRI63913928477664115000,Nifty 50,2000-01-14,1720.83,1720.83
TRI63913928477664115000,Nifty 50,2000-01-17,1709.01,1709.01
TRI63913928477664115000,Nifty 50,2000-01-18,1703.81,1703.81
TRI63913928477664115000,Nifty 50,2000-01-19,1733.66,1733.66
TRI63913928477664115000,Nifty 50,2000-01-20,1697.87,1697.87
TRI63913928477664115000,Nifty 50,2000-01-21,1718.55,1718.55
TRI63913928477664115000,Nifty 50,2000-01-24,1711.13,1711.13
TRI63913928477664115000,Nifty 50,2000-01-25,1682.28,1682.28
TRI63913928477664115000,Nifty 50,2000-01-27,1700.84,1700.84
TRI63913928477664115000,Nifty 50,2000-01-28,1695.75,1695.75
TRI63913928477664115000,Nifty 50,2000-01-31,1639.66,1639.66
TRI63913928477664115000,Nifty 50,2000-02-01,1643.15,1643.15
TRI63913928477664115000,Nifty 50,2000-02-02,1683.98,1683.98
TRI63913928477664115000,Nifty 50,2000-02-03,1694.48,1694.48
TRI63913928477664115000,Nifty 50,2000-02-04,1696.44,1696.44
TRI63913928477664115000,Nifty 50,2000-02-07,1735.52,1735.52
TRI63913928477664115000,Nifty 50,2000-02-08,1763.25,1763.25
TRI63913928477664115000,Nifty 50,2000-02-09,1792.42,1792.42
TRI63913928477664115000,Nifty 50,2000-02-10,1815.28,1815.28
TRI63913928477664115000,Nifty 50,2000-02-11,1862.8,1862.8
TRI63913928477664115000,Nifty 50,2000-02-14,1850.6,1850.6
TRI63913928477664115000,Nifty 50,2000-02-15,1806.1,1806.1
TRI63913928477664115000,Nifty 50,2000-02-16,1815.17,1815.17
TRI63913928477664115000,Nifty 50,2000-02-17,1848.06,1848.06
TRI63913928477664115000,Nifty 50,2000-02-18,1822.28,1822.28
TRI63913928477664115000,Nifty 50,2000-02-21,1860.15,1860.15
TRI63913928477664115000,Nifty 50,2000-02-22,1844.82,1844.82
TRI63913928477664115000,Nifty 50,2000-02-23,1799.58,1799.58
TRI63913928477664115000,Nifty 50,2000-02-24,1837.34,1837.34
TRI63913928477664115000,Nifty 50,2000-02-25,1814.48,1814.48
TRI63913928477664115000,Nifty 50,2000-02-28,1827.32,1827.32
TRI63913928477664115000,Nifty 50,2000-02-29,1755.45,1755.45
TRI63913928477664115000,Nifty 50,2000-03-01,1816.87,1816.87
TRI63913928477664115000,Nifty 50,2000-03-02,1799.73,1799.73
TRI63913928477664115000,Nifty 50,2000-03-03,1756.72,1756.72
TRI63913928477664115000,Nifty 50,2000-03-06,1791.2,1791.2
TRI63913928477664115000,Nifty 50,2000-03-07,1806.31,1806.31
TRI63913928477664115000,Nifty 50,2000-03-08,1769.35,1769.35
TRI63913928477664115000,Nifty 50,2000-03-09,1748.01,1748.01
TRI63913928477664115000,Nifty 50,2000-03-10,1701.82,1701.82
TRI63913928477664115000,Nifty 50,2000-03-13,1657.17,1657.17
TRI63913928477664115000,Nifty 50,2000-03-14,1663.91,1663.91
TRI63913928477664115000,Nifty 50,2000-03-15,1720.24,1720.24
TRI63913928477664115000,Nifty 50,2000-03-16,1658.76,1658.76
TRI63913928477664115000,Nifty 50,2000-03-21,1652.81,1652.81
TRI63913928477664115000,Nifty 50,2000-03-22,1688.46,1688.46
TRI63913928477664115000,Nifty 50,2000-03-23,1650.01,1650.01
